year,race,name,P1,P2,P3,rating
2012,9,British Grand Prix,Webber,Alonso,Vettel,7.048
2013,1,Australian Grand Prix,Raikkonen,Alonso,Vettel,7.698
2013,10,Hungarian Grand Prix,Hamilton,Raikkonen,Vettel,7.677
2013,11,Belgian Grand Prix,Vettel,Alonso,Hamilton,5.688
2013,12,Italian Grand Prix,Vettel,Alonso,Webber,5.84
2013,13,Singapore Grand Prix,Vettel,Alonso,Raikkonen,5.973
2013,14,Korean Grand Prix,Vettel,Raikkonen,Grosjean,7.351
2013,15,Japanese Grand Prix,Vettel,Webber,Grosjean,7.338
2013,16,Indian Grand Prix,Vettel,Rosberg,Grosjean,6.502
2013,17,Abu Dhabi Grand Prix,Vettel,Webber,Rosberg,5.017
2013,18,United States Grand Prix,Vettel,Grosjean,Webber,5.396
2013,19,Brazilian Grand Prix,Vettel,Webber,Alonso,7.144
2013,2,Malaysian Grand Prix,Vettel,Webber,Hamilton,6.826
2013,3,Chinese Grand Prix,Alonso,Raikkonen,Hamilton,7.412
2013,4,Bahrain Grand Prix,Vettel,Raikkonen,Grosjean,7.826
2013,5,Spanish Grand Prix,Alonso,Raikkonen,Massa,5.947
2013,6,Monaco Grand Prix,Rosberg,Vettel,Webber,6.132
2013,7,Canadian Grand Prix,Vettel,Alonso,Hamilton,6.329
2013,8,British Grand Prix,Rosberg,Webber,Alonso,7.394
2013,9,German Grand Prix,Vettel,Raikkonen,Grosjean,7.643
2014,1,Australian Grand Prix,Rosberg,Ricciardo,Magnussen,6.89
2014,10,German Grand Prix,Rosberg,Bottas,Hamilton,7.86
2014,11,Hungarian Grand Prix,Ricciardo,Alonso,Hamilton,9.14
2014,12,Belgian Grand Prix,Ricciardo,Rosberg,Bottas,7.76
2014,13,Italian Grand Prix,Hamilton,Rosberg,Massa,7.42
2014,14,Singapore Grand Prix,Hamilton,Vettel,Ricciardo,6.43
2014,16,Russian Grand Prix,Hamilton,Rosberg,Bottas,4.06
2014,17,United States Grand Prix,Hamilton,Rosberg,Ricciardo,7.33
2014,18,Brazilian Grand Prix,Rosberg,Hamilton,Massa,7.22
2014,19,Abu Dhabi Grand Prix,Hamilton,Massa,Bottas,6.49
2014,2,Malaysian Grand Prix,Hamilton,Rosberg,Vettel,5.9
2014,3,Bahrain Grand Prix,Hamilton,Rosberg,Perez,9.095
2014,4,Chinese Grand Prix,Hamilton,Rosberg,Alonso,5.47
2014,5,Spanish Grand Prix,Hamilton,Rosberg,Ricciardo,6.45
2014,6,Monaco Grand Prix,Rosberg,Hamilton,Ricciardo,7.04
2014,7,Canadian Grand Prix,Ricciardo,Rosberg,Vettel,9.19
2014,8,Austrian Grand Prix,Rosberg,Hamilton,Bottas,6.7
2014,9,British Grand Prix,Hamilton,Bottas,Ricciardo,7.85
2015,1,Australian Grand Prix,Hamilton,Rosberg,Vettel,4.75
2015,10,Hungarian Grand Prix,Vettel,Kvyat,Ricciardo,9.11
2015,11,Belgian Grand Prix,Hamilton,Rosberg,Grosjean,6.39
2015,12,Italian Grand Prix,Hamilton,Vettel,Massa,5.64
2015,13,Singapore Grand Prix,Vettel,Ricciardo,Raikkonen,6.55
2015,14,Japanese Grand Prix,Hamilton,Rosberg,Vettel,5.21
2015,15,Russian Grand Prix,Hamilton,Vettel,Perez,6.96
2015,16,United States Grand Prix,Hamilton,Rosberg,Vettel,9.1
2015,17,Mexican Grand Prix,Rosberg,Hamilton,Bottas,5.44
2015,18,Brazilian Grand Prix,Rosberg,Hamilton,Vettel,4.57
2015,19,Abu Dhabi Grand Prix,Rosberg,Hamilton,Raikkonen,5.25
2015,2,Malaysian Grand Prix,Vettel,Hamilton,Rosberg,8.37
2015,3,Chinese Grand Prix,Hamilton,Rosberg,Vettel,5.72
2015,4,Bahrain Grand Prix,Hamilton,Raikkonen,Rosberg,7.366
2015,5,Spanish Grand Prix,Rosberg,Hamilton,Vettel,5.15
2015,6,Monaco Grand Prix,Rosberg,Vettel,Hamilton,5.63
2015,7,Canadian Grand Prix,Hamilton,Rosberg,Bottas,5.54
2015,8,Austrian Grand Prix,Rosberg,Hamilton,Massa,5.6
2015,9,British Grand Prix,Hamilton,Rosberg,Vettel,7.95
